MH_Time;MH_DOY;MH_0.1_m;MH_0.3_m;MH_0.5_m;MH_1.0_m;MH_3.0_m;MH_5.0_m;MH_7_m;IH_Time;IH_DOY;IH_0.1_m;IH_0.3_m;IH_0.5_m;IH_1.0_m;IH_3.0_m;IH_5.0_m
2009-06-15_21:00;166.875;8.731;8.734;8.719;8.753;8.399;6.498;6.075;2009-06-15_21:00;166.875;10.803;10.807;10.845;10.834;10.804;9.887
2009-06-15_22:00;166.917;8.706;8.710;8.694;8.703;8.524;6.447;6.126;2009-06-15_22:00;166.917;10.754;10.734;10.772;10.761;10.755;9.887
2009-06-15_23:00;166.958;8.607;8.610;8.595;8.604;8.524;6.650;6.126;2009-06-15_23:00;166.958;10.656;10.685;10.699;10.687;10.706;9.887
2009-06-16_00:00;167.000;8.532;8.536;8.520;8.529;8.424;6.979;6.126;2009-06-16_00:00;167.000;10.558;10.563;10.601;10.614;10.608;9.887
2009-06-16_01:00;167.042;8.458;8.461;8.445;8.455;8.399;6.929;6.100;2009-06-16_01:00;167.042;10.509;10.538;10.552;10.565;10.535;9.862
2009-06-16_02:00;167.083;8.358;8.361;8.346;8.380;8.275;7.282;6.126;2009-06-16_02:00;167.083;10.485;10.489;10.528;10.516;10.461;9.862
2009-06-16_03:00;167.125;8.283;8.287;8.271;8.281;8.200;7.231;6.100;2009-06-16_03:00;167.125;10.387;10.391;10.405;10.418;10.363;9.838
2009-06-16_04:00;167.167;8.209;8.212;8.171;8.181;8.150;7.433;6.075;2009-06-16_04:00;167.167;10.313;10.318;10.356;10.345;10.290;9.813
2009-06-16_05:00;167.208;8.134;8.137;8.121;8.131;7.900;7.634;6.100;2009-06-16_05:00;167.208;10.240;10.220;10.234;10.222;10.192;9.788
2009-06-16_06:00;167.250;8.084;8.062;8.046;8.081;7.800;7.533;6.202;2009-06-16_06:00;167.250;10.191;10.171;10.209;10.198;10.167;9.764
2009-06-16_07:00;167.292;8.034;8.037;8.021;8.031;7.700;7.408;6.126;2009-06-16_07:00;167.292;10.068;10.073;10.087;10.100;10.094;9.739
2009-06-16_08:00;167.333;7.984;7.987;7.946;7.956;7.549;7.408;6.279;2009-06-16_08:00;167.333;10.142;10.097;10.111;10.124;10.069;9.715
2009-06-16_09:00;167.375;8.009;8.012;7.971;8.006;7.750;7.408;6.685;2009-06-16_09:00;167.375;10.117;10.073;10.087;10.100;10.045;9.690
2009-06-16_10:00;167.417;8.009;8.012;7.971;7.956;7.650;7.433;6.963;2009-06-16_10:00;167.417;10.142;10.097;10.087;10.100;10.045;9.665
